row_id,stratum,maintenance_id,v1_signature,source_field,segment_text,pred1_concept,pred1_score,pred1_primary_stage,pred1_all_stages,pred1_matched_term,pred2_concept,pred2_score,pred3_concept,pred3_score,LABEL_segment_type,LABEL_pred1_verdict,LABEL_evidence_quality,LABEL_valid_concepts,LABEL_invalid_concepts,LABEL_missing_concepts,LABEL_notes
2,ambiguous,151576,RIM,maintenance_notes,"rims scratches",Scratch,81,phrase,phrase+token+fuzzy,scratches,"Damaged rim",79,,,,,,,,,
5,band_60_79,159778,ELECTRICAL,maintenance_notes,"Replacing the car alternator","Alternator / charging fault",69,fuzzy,token+fuzzy,altenator,"Tail / brake light out",56,"Control arm / ball joint",56,,,,,,,
8,ambiguous,162112,INTERIOR,maintenance_notes,"Scratch on the rear right rim","Damaged rim",79,token,token+fuzzy,"rim scratch",Scratch,77,"Bumper damage",55,,,,,,,
10,ambiguous,164011,ACCESSORY,maintenance_notes,"front bumper adjust with front fenders and bonnet after taking bumper off cuz of radar issue","Bumper damage",76,token,phrase+token+fuzzy,"front bumper","Camera / ADAS fault",75,"Wheel alignment",68,,,,,,,
11,unresolved,167851,TYRE,maintenance_notes,Done,,,,,,,,,,,,,,,,
12,ambiguous,167655,ENGINE_MECH,maintenance_notes,"-Check transmission oil and engine mounts — unusual noise detected","Engine noise",79,token,token,"Engine noise","Whining / grinding noise",77,"Oil leak",68,,,,,,,
13,band_60_79,161668,SUSPENSION,maintenance_notes,"Water pump replaced","Water pump failure",66,token,token,"water pump failure","Coolant leak",64,"Coolant service",56,,,,,,,
14,band_60_79,145532,TYRE,maintenance_notes,"wheel balanced","Wheel balancing",71,phrase,phrase+token,"wheel balance","Wheel alignment",58,"Steering vibration",58,,,,,,,
16,band_60_79,162707,ELECTRICAL,maintenance_notes,"airbag message dn at parking","Airbag warning",72,token,phrase+token+fuzzy,airbag,"Parking sensor fault",53,,,,,,,,,
17,band_60_79,159573,CHECK_ENGINE,maintenance_notes,"noise when pressing the gas pedal","A/C not cooling",68,semantic,token+semantic,"gas is low","Engine noise",57,"Steering noise",57,,,,,,,
18,ambiguous,166864,BODY,maintenance_notes,"- Front bumper is loose and has scratches underneath","Bumper damage",78,token,phrase+token+fuzzy,"bumper loose",Scratch,76,"Loose steering",56,,,,,,,
19,band_60_79,162112,INTERIOR,maintenance_notes,"alignment required for the rear right door window","Wheel alignment",76,token,phrase+token+fuzzy,alignment,"Door / panel misalignment",54,"Bumper damage",54,,,,,,,
20,band_60_79,168790,CHECK_ENGINE,maintenance_notes,"Front brake pads need replacement","Worn pads / discs",65,token,token,"brake pads finished","Battery Replacement",57,"Brake noise (squeal / grind)",55,,,,,,,
22,band_60_79,150010,SUSPENSION,maintenance_notes,"ready from rmr self starter service","Starter problem",79,token,token+fuzzy,"Starter problem","Coolant service",57,,,,,,,,,
23,ambiguous,166864,BODY,maintenance_notes,"- Scratches on the rims and car body",Scratch,78,token,phrase+token+fuzzy,scratches,"Damaged rim",78,Dent,56,,,,,,,
25,action_like,163158,RIM,maintenance_notes,"waled took out rims were for durango from power point garage to assemble them on car","Damaged rim",75,token,token,"4 rims","Loss of power",56,"Headlight out",56,,,,,,,
26,band_60_79,162112,INTERIOR,maintenance_notes,"Front bumper requires fixing","Bumper damage",79,token,phrase+token+fuzzy,"front bumper","Wiper / washer fault",55,"Parking sensor fault",55,,,,,,,
30,action_like,158822,ELECTRICAL,maintenance_notes,"they are working now on the scratches rims and rear bumper and polish the car","Bumper damage",77,token,phrase+token+fuzzy,"rear bumper",Scratch,76,"Damaged rim",76,,,,,,,
31,unresolved,168067,UNSIGNED,service_main,"NEW CAR",,,,,,,,,,,,,,,,
32,action_like,151576,RIM,maintenance_notes,"front bumper and rear bumper with some body parts polished","Bumper damage",78,token,phrase+token+fuzzy,"front bumper",Dent,54,"Wiper / washer fault",54,,,,,,,
33,ambiguous,155662,ELECTRICAL,maintenance_notes,"airbag light check","Airbag warning",82,phrase,phrase+token+fuzzy,"airbag light","Check-engine light",75,"Wheel alignment",56,,,,,,,
34,unresolved,166486,ELECTRICAL,service_sup,Repeated,,,,,,,,,,,,,,,,
35,band_60_79,153862,LIGHTS,maintenance_notes,"bonnet dents",Dent,79,token,phrase+token+fuzzy,dents,"Door / panel misalignment",58,Overheating,48,,,,,,,
36,band_60_79,161668,SUSPENSION,service_sup,"Deep Dent",Dent,79,token,phrase+token+fuzzy,dent,,,,,,,,,,,
38,ambiguous,143625,TYRE,maintenance_notes,"both rims on right side have scratches and small damages on both tire",Scratch,76,token,phrase+token+fuzzy,scratches,"Damaged rim",76,"Tire Change",56,,,,,,,
