em_no,letter_en,letter_ar
1,Dubai,دبي
2,"Abu Dhabi","أبو ظبي"
3,Sharjah,الشارقة
4,Ajman,عجمان
5,"Um Al Qwein","أم القيوين"
6,"Ras Al khaimah","رأس الخيمة"
7,Fujairah,الفجيرة
11,Oman,عمان
21,Qatar,قطر
31,Bahrain,البحرين
41,Kuwait,الكويت
51,KSA,السعودية
52,Uzbekistan,أوزباكستان
61,Jordan,الأردن
71,Iraq,العراق
72,Kurdistan,كردستان
81,Egypt,مصر
91,Turkey,تركيا
99,***,***
101,Private,خصوصي
102,Taxi,تكسي
103,"Public Transport","نقل عام"
104,Motorcycle,"دراجة نارية"
105,Public,عمومي
106,"Special Transport","نقل خاص"
107,Tourism,سياحية
108,Trade,تجارية
109,"Rent acar","تأجير سيارات"
110,Trailer,مقطورة
201,White,ابيض
202,Orange,برتقالي
203,Red,أحمر
207,B,B
210,Blue,ازرق
211,Grey,رمادي
212,Green,اخضر
220,A,A
221,B,B
222,C,C
223,D,D
224,E,E
225,F,F
226,G,G
227,1,1
228,2,2
231,White,ابيض
256,H,H
257,I,I
258,J,J
259,K,K
260,L,L
261,M,M
265,5,5
266,A,A
267,B,B
268,White,ابيض
269,Castle,قلعة
270,A,A
271,B,B
272,C,C
273,White,ابيض
274,6,6
275,7,7
276,8,8
277,9,9
278,10,10
279,A,A
280,B,B
281,G,G
282,A,A
283,C,C
284,D,D
285,R,R
286,N,N
287,O,O
288,S,S
289,White,ابيض
290,P,P
291,Q,Q
292,R,R
293,T,T
294,U,U
295,V,V
296,W,W
297,X,X
298,Y,Y
299,Z,Z
300,White,ابيض
301,A,أ
302,AA,"أ أ"
303,AB,"أ ب"
304,AD,"أ د"
305,AK,"أ ك"
306,AM,"أ م"
307,AR,"أ ر"
308,AS,"أ س"
309,AW,"أ و"
310,AY,"أ ي"
311,B,ب
312,BB,"ب ب"
313,BD,"ب د"
314,BH,"ب ح"
315,BK,"ب ك"
316,BR,"ب ر"
317,BS,"ب س"
318,BW,"ب و"
319,BY,"ب ي"
320,D,د
321,DD,"د د"
322,DK,"د ك"
323,DR,"د ر"
324,DS,"د س"
325,DW,"د و"
326,DY,"د ي"
327,H,ح
328,HD,"ح د"
329,HH,"ح ح"
330,HK,"ح ك"
331,HM,"ح م"
332,HR,"ح ر"
333,HS,"ح س"
334,HW,"ح و"
335,HY,"ح ي"
336,K,ك
337,KA,"ك أ"
338,KB,"ك ب"
339,KK,"ك ك"
340,LK,"ل ك"
341,M,م
342,MA,"م أ"
343,MD,"م د"
344,MK,"م ك"
345,ML,"م ل"
346,MM,"م م"
347,MR,"م ر"
348,MW,"م و"
349,MY,"م ي"
350,R,ر
351,RK,"ر ك"
352,RM,"ر م"
353,RR,"ر ر"
354,RS,"ر س"
355,RW,"ر و"
356,RY,"ر ي"
357,S,س
358,SS,"س س"
359,T,ط
360,TA,"ط أ"
361,TT,"ط ط"
362,W,و
363,WB,"و ب"
364,WK,"و ك"
365,WW,"و و"
366,Y,ي
367,YA,"ي أ"
368,YB,"ي ب"
369,YD,"ي د"
370,YM,"ي م"
371,YR,"ي ر"
372,YS,"ي س"
373,YW,"ي و"
374,YY,"ي ي"
375,11,11
376,Qatar,قطر
377,4,4
378,E,E
379,I,I
380,Y,Y
381,V,V
382,D,D
383,Bahrain,البحرين
384,Kuwait,الكويت
385,KSA,السعودية
386,Jordan,الأردن
387,M,M
388,12,12
389,C,C
390,X,X
391,M,M
392,N,N
393,Iraq,العراق
394,Arbeel,أربيل
395,Dahok,دهوك
396,Solaimania,السليمانية
397,Egypt,مصر
398,13,13
399,14,14
400,15,15
401,16,16
402,17,17
403,18,18
404,19,19
405,20,20
406,3,3
408,1,1
409,TB,"ط ب"
410,D,D
411,E,E
412,F,F
413,G,G
414,H,H
415,1,1
416,2,2
417,Turkey,تركيا
418,I,I
419,M,M
420,C,C
421,S,S
422,V,V
423,V,V
424,Uzbekistan,أوزباكستان
425,K,K
426,S,S
427,50,50
428,"Public Transport","نقل عام"
429,Trailer,مقطورة
430,"Public Transport","نقل عام"
431,Trailer,مقطورة
432,"Public Transport","نقل عام"
433,Trailer,مقطورة
434,"Public Transport","نقل عام"
435,Trailer,مقطورة
436,"Public Transport","نقل عام"
437,Trailer,مقطورة
438,"Public Transport","نقل عام"
439,Trailer,مقطورة
440,"Public Transport","نقل عام"
441,Trailer,مقطورة
442,"Public Transport","نقل عام"
443,Trailer,مقطورة
444,"Public Transport","نقل عام"
445,Trailer,مقطورة
446,"Public Transport","نقل عام"
447,Trailer,مقطورة
448,"Public Transport","نقل عام"
449,Trailer,مقطورة
450,"Public Transport","نقل عام"
451,Trailer,مقطورة
452,"Public Transport","نقل عام"
453,Trailer,مقطورة
454,"Public Transport","نقل عام"
455,Trailer,مقطورة
456,"Public Transport","نقل عام"
457,Trailer,مقطورة
458,"Public Transport","نقل عام"
459,Trailer,مقطورة
460,"Public Transport","نقل عام"
461,Trailer,مقطورة
462,4,4
463,5,5
464,6,6
465,7,7
466,8,8
467,TH,"ت ح"
468,S,S
469,A,A
470,B,B
471,C,C
472,D,D
473,E,E
474,F,F
475,G,G
476,H,H
477,J,J
478,K,K
479,L,L
480,M,M
481,-,-
482,AA,AA
483,BB,BB
484,TD,"ت د"
485,CC,CC
486,CD,CD
487,CR,CR
488,DD,DD
489,21,21
490,2,2
491,3,3
492,EE,EE
493,22,22
494,FF,FF
495,HH,HH
496,II,II
497,NN,NN
498,23,23
499,N,N
500,ازرق,ازرق
