row_id,stratum,maintenance_id,v1_signature,source_field,segment_text,pred1_concept,pred1_score,pred1_primary_stage,pred1_all_stages,pred1_matched_term,pred2_concept,pred2_score,pred3_concept,pred3_score,LABEL_segment_type,LABEL_pred1_verdict,LABEL_evidence_quality,LABEL_valid_concepts,LABEL_invalid_concepts,LABEL_missing_concepts,LABEL_notes
1,system_COOLING,170009,COOLING,maintenance_notes,"impact mark on the front bumper","Bumper damage",79,token,phrase+token+fuzzy,"front bumper","Wiper / washer fault",55,"Parking sensor fault",55,,,,,,,
2,ambiguous,151576,RIM,maintenance_notes,"rims scratches",Scratch,81,phrase,phrase+token+fuzzy,scratches,"Damaged rim",79,,,,,,,,,
3,system_ELECTRICAL,168300,ELECTRICAL,maintenance_notes,"airbag light solved","Airbag warning",81,token,phrase+token+fuzzy,"airbag light","Check-engine light",75,"ABS warning light",56,,,,,,,
4,system_ELECTRICAL,146351,ELECTRICAL,maintenance_notes,"checking the fog light and front sensor need checking","Check-engine light",74,token,token,"light is on","Sensor failure",56,"ABS warning light",55,,,,,,,
5,band_60_79,159778,ELECTRICAL,maintenance_notes,"Replacing the car alternator","Alternator / charging fault",69,fuzzy,token+fuzzy,altenator,"Tail / brake light out",56,"Control arm / ball joint",56,,,,,,,
6,control_80_plus,169499,STEERING,maintenance_notes,"Steering noise detected.dn","Steering noise",81,token,phrase+token,"Steering noise","Engine noise",57,"Loose steering",57,,,,,,,
7,system_SUSPENSION,161668,SUSPENSION,maintenance_notes,"Oil filter","Oil Filter",100,exact,exact+token,"Oil Filter","Oil leak",66,"Oil Change",59,,,,,,,
8,ambiguous,162112,INTERIOR,maintenance_notes,"Scratch on the rear right rim","Damaged rim",79,token,token+fuzzy,"rim scratch",Scratch,77,"Bumper damage",55,,,,,,,
9,control_80_plus,169499,STEERING,service_sup,"Minor Surface Scratch",Scratch,96,alias,alias+phrase+token+fuzzy,"minor surface scratch","Damaged rim",56,"Rust / corrosion",54,,,,,,,
10,ambiguous,164011,ACCESSORY,maintenance_notes,"front bumper adjust with front fenders and bonnet after taking bumper off cuz of radar issue","Bumper damage",76,token,phrase+token+fuzzy,"front bumper","Camera / ADAS fault",75,"Wheel alignment",68,,,,,,,
11,unresolved,167851,TYRE,maintenance_notes,Done,,,,,,,,,,,,,,,,
12,ambiguous,167655,ENGINE_MECH,maintenance_notes,"-Check transmission oil and engine mounts — unusual noise detected","Engine noise",79,token,token,"Engine noise","Whining / grinding noise",77,"Oil leak",68,,,,,,,
13,band_60_79,161668,SUSPENSION,maintenance_notes,"Water pump replaced","Water pump failure",66,token,token,"water pump failure","Coolant leak",64,"Coolant service",56,,,,,,,
14,band_60_79,145532,TYRE,maintenance_notes,"wheel balanced","Wheel balancing",71,phrase,phrase+token,"wheel balance","Wheel alignment",58,"Steering vibration",58,,,,,,,
15,system_ELECTRICAL,158822,ELECTRICAL,maintenance_notes,"usb plug and carplay not working","Infotainment / screen issue",80,token,phrase+token,"carplay not working","Power window / lock fault",64,"Central locking / key fob",64,,,,,,,
16,band_60_79,162707,ELECTRICAL,maintenance_notes,"airbag message dn at parking","Airbag warning",72,token,phrase+token+fuzzy,airbag,"Parking sensor fault",53,,,,,,,,,
17,band_60_79,159573,CHECK_ENGINE,maintenance_notes,"noise when pressing the gas pedal","A/C not cooling",68,semantic,token+semantic,"gas is low","Engine noise",57,"Steering noise",57,,,,,,,
18,ambiguous,166864,BODY,maintenance_notes,"- Front bumper is loose and has scratches underneath","Bumper damage",78,token,phrase+token+fuzzy,"bumper loose",Scratch,76,"Loose steering",56,,,,,,,
19,band_60_79,162112,INTERIOR,maintenance_notes,"alignment required for the rear right door window","Wheel alignment",76,token,phrase+token+fuzzy,alignment,"Door / panel misalignment",54,"Bumper damage",54,,,,,,,
20,band_60_79,168790,CHECK_ENGINE,maintenance_notes,"Front brake pads need replacement","Worn pads / discs",65,token,token,"brake pads finished","Battery Replacement",57,"Brake noise (squeal / grind)",55,,,,,,,
21,bare_system_noun,161668,SUSPENSION,service_main,Brakes,"Brake noise (squeal / grind)",63,token,token,"grinding brakes","Soft / spongy pedal",63,"Worn pads / discs",52,,,,,,,
22,band_60_79,150010,SUSPENSION,maintenance_notes,"ready from rmr self starter service","Starter problem",79,token,token+fuzzy,"Starter problem","Coolant service",57,,,,,,,,,
23,ambiguous,166864,BODY,maintenance_notes,"- Scratches on the rims and car body",Scratch,78,token,phrase+token+fuzzy,scratches,"Damaged rim",78,Dent,56,,,,,,,
24,system_ENGINE_MECH,167655,ENGINE_MECH,maintenance_notes,"WALEED BROUGHT Complete windshield washer reservoir with motor and sensor","Windscreen crack / chip",76,token,token,"windshield issue","Sensor failure",56,"Power window / lock fault",52,,,,,,,
25,action_like,163158,RIM,maintenance_notes,"waled took out rims were for durango from power point garage to assemble them on car","Damaged rim",75,token,token,"4 rims","Loss of power",56,"Headlight out",56,,,,,,,
26,band_60_79,162112,INTERIOR,maintenance_notes,"Front bumper requires fixing","Bumper damage",79,token,phrase+token+fuzzy,"front bumper","Wiper / washer fault",55,"Parking sensor fault",55,,,,,,,
27,system_SUSPENSION,161668,SUSPENSION,service_sup,"Rim Scratch","Damaged rim",96,alias,alias+token+fuzzy,"rim scratch",Scratch,81,"Steering vibration",56,,,,,,,
28,control_80_plus,162802,TYRE,service_sup,"Wheel Alignment Issue","Wheel alignment",84,token,phrase+token+fuzzy,"wheel alignment","Wheel balancing",58,"Steering vibration",58,,,,,,,
29,system_ENGINE_MECH,166930,ENGINE_MECH,maintenance_notes,"Repainting the steering wheel","Paint damage",78,token,phrase+token+fuzzy,repainting,"Steering vibration",66,"Loose steering",66,,,,,,,
30,action_like,158822,ELECTRICAL,maintenance_notes,"they are working now on the scratches rims and rear bumper and polish the car","Bumper damage",77,token,phrase+token+fuzzy,"rear bumper",Scratch,76,"Damaged rim",76,,,,,,,
31,unresolved,168067,UNSIGNED,service_main,"NEW CAR",,,,,,,,,,,,,,,,
32,action_like,151576,RIM,maintenance_notes,"front bumper and rear bumper with some body parts polished","Bumper damage",78,token,phrase+token+fuzzy,"front bumper",Dent,54,"Wiper / washer fault",54,,,,,,,
33,ambiguous,155662,ELECTRICAL,maintenance_notes,"airbag light check","Airbag warning",82,phrase,phrase+token+fuzzy,"airbag light","Check-engine light",75,"Wheel alignment",56,,,,,,,
34,unresolved,166486,ELECTRICAL,service_sup,Repeated,,,,,,,,,,,,,,,,
35,band_60_79,153862,LIGHTS,maintenance_notes,"bonnet dents",Dent,79,token,phrase+token+fuzzy,dents,"Door / panel misalignment",58,Overheating,48,,,,,,,
36,band_60_79,161668,SUSPENSION,service_sup,"Deep Dent",Dent,79,token,phrase+token+fuzzy,dent,,,,,,,,,,,
37,system_SUSPENSION,161668,SUSPENSION,maintenance_notes,"Noise when turning the steering","Steering noise",83,token,phrase+token,"Steering noise","Engine noise",58,"Loose steering",58,,,,,,,
38,ambiguous,143625,TYRE,maintenance_notes,"both rims on right side have scratches and small damages on both tire",Scratch,76,token,phrase+token+fuzzy,scratches,"Damaged rim",76,"Tire Change",56,,,,,,,
39,system_COOLING,170009,COOLING,maintenance_notes,Dent,Dent,96,alias,alias+token+fuzzy,dent,,,,,,,,,,,
40,band_60_79,158822,ELECTRICAL,maintenance_notes,"car moved with jhony to najm al afaq to fix the car play","Infotainment / screen issue",73,token,phrase+token,"car play","Loose steering",54,"Exhaust fault",54,,,,,,,
41,system_COOLING,170009,COOLING,maintenance_notes,"Dent on the front right fender and front left fender",Dent,76,token,phrase+token+fuzzy,dent,"Pulling / drifting",55,"Wiper / washer fault",55,,,,,,,
42,band_60_79,161500,ENGINE_MECH,service_sup,"Engine mechanical issue","Coolant leak",68,semantic,token+semantic,"puddle under the engine","Engine noise",59,"Rough idle / misfire",58,,,,,,,
43,ambiguous,161668,SUSPENSION,maintenance_notes,"Coolant leak from water pump","Water pump failure",82,token,token,"water pump leak","Coolant leak",79,"Water leakage into cabin",65,,,,,,,
44,action_like,151576,RIM,maintenance_notes,"front bumper painted with black","Bumper damage",79,token,phrase+token+fuzzy,"front bumper","Excessive exhaust smoke",55,"Wiper / washer fault",55,,,,,,,
45,band_60_79,144422,OIL_SERVICE,maintenance_notes,"front bumper and grill needs to fix and front left door need to check","Bumper damage",77,token,phrase+token+fuzzy,"front bumper","Wheel alignment",54,"Pulling / drifting",54,,,,,,,
46,band_60_79,150991,ENGINE_MECH,maintenance_notes,"old engine is on the ground","Coolant leak",68,semantic,token+semantic,"puddle under the engine","Engine noise",59,"Rough idle / misfire",58,,,,,,,
47,unresolved,168790,CHECK_ENGINE,maintenance_notes,"drums machined (",,,,,,,,,,,,,,,,
48,system_ELECTRICAL,158720,ELECTRICAL,maintenance_notes,"It turned out there is no leak and the warning message was incorrect","ABS warning light",73,token,token,"a b s warning","Oil leak",56,"Headlight out",56,,,,,,,
49,action_like,162802,TYRE,maintenance_notes,"+painting  the left side of the rear bumper.","Bumper damage",78,token,phrase+token+fuzzy,"rear bumper","Paint damage",76,"Pulling / drifting",55,,,,,,,
50,system_BRAKES,169949,BRAKES,service_sup,"Minor Surface Scratch",Scratch,96,alias,alias+phrase+token+fuzzy,"minor surface scratch","Damaged rim",56,"Rust / corrosion",54,,,,,,,
51,action_like,158822,ELECTRICAL,maintenance_notes,"adjust the front kit and polish the light front right","Check-engine light",74,token,token,"light is on","ABS warning light",54,"Alternator / charging fault",54,,,,,,,
52,band_60_79,168790,CHECK_ENGINE,maintenance_notes,"Rear brake pads are at half life","Worn pads / discs",64,token,token,"brake pads finished","Brake noise (squeal / grind)",55,"Vibration when braking",55,,,,,,,
53,band_60_79,157481,UNSIGNED,maintenance_notes,"not working on high speed","Power window / lock fault",65,token,token,"window not working","Central locking / key fob",65,"Heater not working",65,,,,,,,
54,system_ENGINE_MECH,166930,ENGINE_MECH,maintenance_notes,"Scratch on the rear trunk + interior light not working","Interior light fault",80,token,phrase+token,"interior light not working",Scratch,76,"Check-engine light",73,,,,,,,
55,band_60_79,153862,LIGHTS,maintenance_notes,"front left fog light","Check-engine light",74,token,token,"light is on","ABS warning light",55,"Pulling / drifting",55,,,,,,,
56,ambiguous,161668,SUSPENSION,maintenance_notes,"Scratches on rims",Scratch,79,token,phrase+token+fuzzy,scratches,"Damaged rim",79,,,,,,,,,
57,band_60_79,164870,ENGINE_MECH,maintenance_notes,"front lip scratches",Scratch,78,token,phrase+token+fuzzy,scratches,"Wiper / washer fault",56,"Bumper damage",56,,,,,,,
58,control_80_plus,147174,OIL_SERVICE,maintenance_notes,"changed oil and filter","Oil Filter",83,token,token,"Oil Filter","Oil leak",64,"Oil Change",58,,,,,,,
59,ambiguous,157894,CHECK_ENGINE,maintenance_notes,"oil and filter change","Oil Change",83,token,token,"Oil Change","Oil Filter",83,"Oil leak",64,,,,,,,
60,system_SUSPENSION,161668,SUSPENSION,service_sup,"Minor Surface Scratch",Scratch,96,alias,alias+phrase+token+fuzzy,"minor surface scratch","Damaged rim",56,"Rust / corrosion",54,,,,,,,
61,control_80_plus,167851,TYRE,maintenance_notes,"and there is a leak from the oil pan","Oil leak",83,token,token,"Oil leak","Coolant leak",68,"Transmission fluid leak",66,,,,,,,
