row_id,stratum,maintenance_id,v1_signature,source_field,segment_text,pred1_concept,pred1_score,pred1_primary_stage,pred1_all_stages,pred1_matched_term,pred2_concept,pred2_score,pred3_concept,pred3_score,LABEL_segment_type,LABEL_pred1_verdict,LABEL_evidence_quality,LABEL_valid_concepts,LABEL_invalid_concepts,LABEL_missing_concepts,LABEL_notes
1,system_COOLING,170009,COOLING,maintenance_notes,"impact mark on the front bumper","Bumper damage",79,token,phrase+token+fuzzy,"front bumper","Wiper / washer fault",55,"Parking sensor fault",55,fault,correct_specific,strong,"Bumper damage","Wiper / washer fault; Parking sensor fault",,"AI BASELINE — machine-generated, not ground truth"
2,ambiguous,151576,RIM,maintenance_notes,"rims scratches",Scratch,81,phrase,phrase+token+fuzzy,scratches,"Damaged rim",79,,,fault,correct_broad,strong,"Scratch; Damaged rim",none,,"AI BASELINE — machine-generated, not ground truth"
3,system_ELECTRICAL,168300,ELECTRICAL,maintenance_notes,"airbag light solved","Airbag warning",81,token,phrase+token+fuzzy,"airbag light","Check-engine light",75,"ABS warning light",56,fault,correct_specific,strong,"Airbag warning","Check-engine light; ABS warning light",,"AI BASELINE — machine-generated, not ground truth"
4,system_ELECTRICAL,146351,ELECTRICAL,maintenance_notes,"checking the fog light and front sensor need checking","Check-engine light",74,token,token,"light is on","Sensor failure",56,"ABS warning light",55,procedure,incorrect,,none,"Check-engine light; Sensor failure; ABS warning light","fog light check; front sensor check","AI BASELINE — machine-generated, not ground truth"
5,band_60_79,159778,ELECTRICAL,maintenance_notes,"Replacing the car alternator","Alternator / charging fault",69,fuzzy,token+fuzzy,altenator,"Tail / brake light out",56,"Control arm / ball joint",56,action,correct_broad,medium,"Alternator / charging fault","Tail / brake light out; Control arm / ball joint","alternator replacement","AI BASELINE — machine-generated, not ground truth"
6,control_80_plus,169499,STEERING,maintenance_notes,"Steering noise detected.dn","Steering noise",81,token,phrase+token,"Steering noise","Engine noise",57,"Loose steering",57,fault,correct_specific,strong,"Steering noise","Engine noise; Loose steering",,"AI BASELINE — machine-generated, not ground truth"
7,system_SUSPENSION,161668,SUSPENSION,maintenance_notes,"Oil filter","Oil Filter",100,exact,exact+token,"Oil Filter","Oil leak",66,"Oil Change",59,part,correct_specific,weak,"Oil Filter","Oil leak; Oil Change",,"AI BASELINE — machine-generated, not ground truth"
8,ambiguous,162112,INTERIOR,maintenance_notes,"Scratch on the rear right rim","Damaged rim",79,token,token+fuzzy,"rim scratch",Scratch,77,"Bumper damage",55,fault,correct_specific,strong,"Damaged rim; Scratch","Bumper damage",,"AI BASELINE — machine-generated, not ground truth"
9,control_80_plus,169499,STEERING,service_sup,"Minor Surface Scratch",Scratch,96,alias,alias+phrase+token+fuzzy,"minor surface scratch","Damaged rim",56,"Rust / corrosion",54,fault,correct_specific,strong,Scratch,"Damaged rim; Rust / corrosion",,"AI BASELINE — machine-generated, not ground truth"
10,ambiguous,164011,ACCESSORY,maintenance_notes,"front bumper adjust with front fenders and bonnet after taking bumper off cuz of radar issue","Bumper damage",76,token,phrase+token+fuzzy,"front bumper","Camera / ADAS fault",75,"Wheel alignment",68,action,correct_specific,medium,"Bumper damage; Camera / ADAS fault","Wheel alignment",,"AI BASELINE — machine-generated, not ground truth"
11,unresolved,167851,TYRE,maintenance_notes,Done,,,,,,,,,,operational,none_predicted,,none,none,,"AI BASELINE — machine-generated, not ground truth"
12,ambiguous,167655,ENGINE_MECH,maintenance_notes,"-Check transmission oil and engine mounts — unusual noise detected","Engine noise",79,token,token,"Engine noise","Whining / grinding noise",77,"Oil leak",68,fault,correct_specific,strong,"Engine noise; Whining / grinding noise","Oil leak","engine mount check; transmission oil check","AI BASELINE — machine-generated, not ground truth"
13,band_60_79,161668,SUSPENSION,maintenance_notes,"Water pump replaced","Water pump failure",66,token,token,"water pump failure","Coolant leak",64,"Coolant service",56,action,correct_broad,medium,"Water pump failure","Coolant leak; Coolant service","water pump replacement","AI BASELINE — machine-generated, not ground truth"
14,band_60_79,145532,TYRE,maintenance_notes,"wheel balanced","Wheel balancing",71,phrase,phrase+token,"wheel balance","Wheel alignment",58,"Steering vibration",58,action,correct_specific,strong,"Wheel balancing","Wheel alignment; Steering vibration",,"AI BASELINE — machine-generated, not ground truth"
15,system_ELECTRICAL,158822,ELECTRICAL,maintenance_notes,"usb plug and carplay not working","Infotainment / screen issue",80,token,phrase+token,"carplay not working","Power window / lock fault",64,"Central locking / key fob",64,fault,correct_specific,strong,"Infotainment / screen issue","Power window / lock fault; Central locking / key fob",,"AI BASELINE — machine-generated, not ground truth"
16,band_60_79,162707,ELECTRICAL,maintenance_notes,"airbag message dn at parking","Airbag warning",72,token,phrase+token+fuzzy,airbag,"Parking sensor fault",53,,,fault,correct_specific,strong,"Airbag warning","Parking sensor fault",,"AI BASELINE — machine-generated, not ground truth"
17,band_60_79,159573,CHECK_ENGINE,maintenance_notes,"noise when pressing the gas pedal","A/C not cooling",68,semantic,token+semantic,"gas is low","Engine noise",57,"Steering noise",57,fault,incorrect,,"Engine noise","A/C not cooling; Steering noise","noise on acceleration","AI BASELINE — machine-generated, not ground truth"
