contract_no,contract_id,om_income,reconstructed_income,residual,pct_diff,salik_debit,extra_charges_debit,damages_debit,breachs_debit,discount,co_driver_cost,salesman_comm1,salesman_comm2
2961,113852,284,260,24,8.5,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00
2960,113853,244,220,24,9.8,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00
81718,141329,1229.84,1157.84,72,5.9,15.00,0.00,477.00,0.00,0.00,0.00,0.00,0.00
81707,141339,3395.2,3195.2,200,5.9,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81702,141344,798,726,72,9,26.00,0.00,0.00,0.00,169.00,0.00,0.00,0.00
81686,141364,872,800,72,8.3,25.00,252.00,0.00,0.00,0.00,0.00,0.00,0.00
81609,141460,2100,1940,160,7.6,34.00,0.00,0.00,650.00,0.00,0.00,0.00,0.00
81608,141461,1668,1500,168,10.1,30.00,380.94,0.00,0.00,0.00,0.00,0.00,0.00
81607,141462,2834.65,2666.65,168,5.9,206.00,40.00,0.00,1300.00,0.00,0.00,0.00,0.00
81588,141483,1794.04,1634.04,160,8.9,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81587,141484,641.57,521.57,120,18.7,84.00,0.00,476.19,0.00,0.00,0.00,0.00,0.00
81581,141489,1160,1040,120,10.3,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81570,141502,914.2,842.2,72,7.9,64.00,237.36,476.19,0.00,0.00,0.00,0.00,0.00
81553,141521,1168,1000,168,14.4,0.00,0.00,285.71,0.00,285.71,0.00,0.00,0.00
81551,141523,1072,1000,72,6.7,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81506,141568,1020,900,120,11.8,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81501,141574,688,640,48,7,31.00,60.00,0.00,150.00,0.00,0.00,0.00,0.00
81500,141575,1272,1200,72,5.7,143.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81494,141581,2443,2275,168,6.9,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81493,141582,1289.13,1217.13,72,5.6,42.00,0.00,190.47,1750.00,0.18,0.00,0.00,15.00
81480,141600,1020,900,120,11.8,21.00,0.00,952.38,0.00,0.00,0.00,0.00,0.00
81457,141625,860,740,120,14,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81435,141657,341,269,72,21.1,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81422,141672,452.94,380.94,72,15.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81392,141703,1630,1510,120,7.4,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82282,141997,222,150,72,32.4,43.00,192.77,0.00,0.00,0.00,0.00,0.00,0.00
82280,141999,899,827,72,8,47.00,2.29,0.00,650.00,0.00,0.00,0.00,0.00
82261,142021,1046,950,96,9.2,107.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82259,142023,348.94,300.94,48,13.8,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
