id,plate,car_label,vehicle_id,event_status,out_date,expected_return_date,follow_date,actual_in_date,driver,liable_party,charge_to,garage,maintenance_type,service_main,service_sup,damage_location,severity,responsible,spare_part,invoice_no,cost,maintenance_notes,cost_notes
58581,"K 20773","NISSAN PATROL - Brown - 2019 - K 20773",1835,OUT,2023-11-30,2023-08-14,2023-06-04,,ABDULLAH,,,"ISSA ALABD",,,,,,,,,,"Radar problem",
58582,"C 38923","CHEVROLET TRAVERSE - Sliver - 2020 - C 38923",1828,OUT,2023-06-05,2023-07-29,2023-06-05,2023-06-30,ABDULLAH,,,"HOT LINE",,,,,,,,,,"NEW CAR",
58583,"G 54092","FORD MUSTANG Conv - Grey Black - 2019 - G 54092",1761,OUT,2023-07-07,2023-07-13,2023-07-07,,WALEED,,,"HOT LINE",,,,,,,,,,"accident // 2 rims scratch // front lips damage",
58584,"N 85805","NISSAN PATROL NISMO - Blue - 2019 - N 85805",1796,OUT,,2023-07-18,2023-07-10,,WALEED,,,"ISSA ALABD",,,,,,,,,,"new fan for ac/// radar problem  need APS",
58585,"C 52604","BMW 430I - Black - 2021 - C 52604",1813,OUT,2023-07-11,,2023-07-11,,ABDULLAH,,,RMR,,,,,,,,,,"steering problem / sound in right lift tire/// watting box steering",
58586,"C 39149","BMW X1 - Black - 2022 - C 39149",1815,OUT,2023-07-14,,2023-07-14,,ABDULLAH,,,"POWER POINT",,,,,,,,,,,
58587,"Y 32506","CHRYSLER 300 - Black - 2019 - Y 32506",1786,OUT,2023-07-15,,2023-07-15,,UZAIR,,,"POWER POINT",,,,,,,,,,,
58588,"Y 32506","CHRYSLER 300 - Black - 2019 - Y 32506",1786,IN,2023-07-15,,2023-07-15,2023-07-15,,,,,,,,,,,,,,,
58589,"G 54092","FORD MUSTANG Conv - Grey Black - 2019 - G 54092",1761,"Follow up",2023-07-07,,2023-07-15,,WALEED,,,"FUTURE TYRES",,,,,,,,,,,
58590,"V 23733","INFINITI QX80 BLACK HAWK - White - 2019 - V 23733",1773,OUT,2023-07-15,2023-07-15,2023-07-15,,TAYEEF,,,"POWER POINT",,,,,,,,,,,
58591,"R 98793","AUDI Q3 - Bright White - 2021 - R 98793",1791,IN,2023-07-15,2023-07-15,2023-07-15,2023-07-15,"Abo Adam",,,,,,,,,,,,,,
58592,"T 91463","JAGUAR F PACE - Orange - 2020 - T 91463",1831,OUT,2023-07-15,2023-07-15,2023-07-15,,ABDULLAH,,,"MHD AKRAM",,,,,,,,,,"rims scratch// windshieid wiper problem// car need OLD PCM",
58593,"I 74802","DODGE CHARGER - Yellow Black - 2018 - I 74802",1704,"Follow up",2023-07-14,2023-07-19,2023-07-16,,WALEED,,,"ALTAHDETH ALMOSTAMR",,,,,,,,,,,
58594,"U 11219","FORD MUSTANG Conv - Silver Red Black - 2019 - U 11219",1729,OUT,2023-07-16,,2023-07-16,,GURWINDER,,,"POWER POINT",,,,,,,,,,,
58595,"I 29962","JAGUAR E-PACE - Black - 2021 - I 29962",1790,OUT,2023-07-16,,2023-07-16,,WALEED,,,RMR,,,,,,,,,,"need girll and golar",
58596,"Y 32498","NISSAN PATROL NISMO - Black - 2019 - Y 32498",1788,OUT,,,2023-07-16,,Waqar,,,"TIRE AND MORE",,,,,,,,,,,
58597,"Y 32498","NISSAN PATROL NISMO - Black - 2019 - Y 32498",1788,IN,,,2023-07-16,,Waqar,,,,,,,,,,,,,,
58598,"C 52604","BMW 430I - Black - 2021 - C 52604",1813,"Follow up",2023-07-11,2023-07-17,2023-07-17,,ABDULLAH,,,RMR,,,,,,,,,,"buied box steering",
58599,"C 52604","BMW 430I - Black - 2021 - C 52604",1813,IN,2023-07-11,,2023-07-17,2023-07-17,ABDULLAH,,,RMR,,,,,,,,,,,
58600,"C 39149","BMW X1 - Black - 2022 - C 39149",1815,OUT,2023-07-17,2023-07-20,2023-07-17,,WALEED,,,"HOT LINE",,,,,,,,,,"cover fix//",
58601,"T 91485","CHEVROLET TRAVERSE - Black - 2021 - T 91485",1825,OUT,2023-07-17,2023-07-18,2023-07-17,,IMRAN,,,"POWER POINT",,,,,,,,,,"need vageom",
58602,"O 3125","DODGE CHALLENGER - Black Green - 2020 - O 3125",1741,OUT,2023-07-17,2023-07-20,2023-07-17,,ABDULLAH,,,"HOT LINE",,,,,,,,,,"rings paint// bumper fix",
58603,"Z 96890","FORD ESCAPE - Grey - 2021 - Z 96890",1816,OUT,2023-07-17,,2023-07-17,,IMRAN,,,"POWER POINT",,,,,,,,,,"front right side Head light not working",
58604,"Z 96890","FORD ESCAPE - Grey - 2021 - Z 96890",1816,IN,2023-07-17,,2023-07-17,2023-07-17,IMRAN,,,,,,,,,,,,,,
58605,"G 54092","FORD MUSTANG Conv - Grey Black - 2019 - G 54092",1761,"Follow up",2023-07-07,2023-07-17,2023-07-17,,,,,"FUTURE TYRES",,,,,,,,,,,
58606,"G 54092","FORD MUSTANG Conv - Grey Black - 2019 - G 54092",1761,IN,2023-07-07,,2023-07-17,2023-07-17,WALEED,,,"FUTURE TYRES",,,,,,,,,,"return from future tire",
58607,"G 54092","FORD MUSTANG Conv - Grey Black - 2019 - G 54092",1761,OUT,2023-07-17,2023-07-18,2023-07-17,,WALEED,,,"POWER POINT",,,,,,,,,,,
58608,"Y 25873","FORD MUSTANG Conv - Grey Orange - 2019 - Y 25873",1780,OUT,2023-07-17,2023-07-19,2023-07-17,,ABDULLAH,,,"POWER POINT",,,,,,,,,,"oxgine sensor / engine light / new battery",
58609,"S 13049","FORD MUSTANG Conv - Silver Blue Black - 2019 - S 13049",1940,OUT,2023-07-17,2023-07-20,2023-07-17,,WALEED,,,"HOT LINE",,,,,,,,,,"scratch//One signal not working",
58610,"U 11219","FORD MUSTANG Conv - Silver Red Black - 2019 - U 11219",1729,"Follow up",2023-07-16,,2023-07-17,,WALEED,,,"POWER POINT",,,,,,,,,,,
58611,"U 11219","FORD MUSTANG Conv - Silver Red Black - 2019 - U 11219",1729,IN,2023-07-16,,2023-07-17,2023-07-17,WALEED,,,"POWER POINT",,,,,,,,,,,
58612,"T 91463","JAGUAR F PACE - Orange - 2020 - T 91463",1831,"Follow up",2023-07-15,2023-07-17,2023-07-17,,,,,RMR,,,,,,,,,,,
58613,"T 91463","JAGUAR F PACE - Orange - 2020 - T 91463",1831,IN,2023-07-15,,2023-07-17,2023-07-17,ABDULLAH,,,RMR,,,,,,,,,,,
58614,"X 81843","MERCEDES C43 AMG - Black - 2018 - X 81843",1749,OUT,2023-07-17,2023-07-17,2023-07-17,,ABDULLAH,,,RMR,,,,,,,,,,,
58615,"X 81843","MERCEDES C43 AMG - Black - 2018 - X 81843",1749,IN,2023-07-17,,2023-07-17,2023-07-17,ABDULLAH,,,,,,,,,,,,,,
58616,"V 14234","MERCEDES E300 - Blue - 2019 - V 14234",1802,OUT,2023-07-17,,2023-07-17,,ABDULLAH,,,RMR,,,,,,,,,,,
58617,"T 89529","CHEVROLET CAMARO - Red Black - 2020 - T 89529",1743,OUT,2023-07-18,,2023-07-18,,IMRAN,,,"POWER POINT",,,,,,,,,,,
58618,"G 54092","FORD MUSTANG Conv - Grey Black - 2019 - G 54092",1761,IN,2023-07-17,,2023-07-18,2023-07-18,IMRAN,,,"POWER POINT",,,,,,,,,,,
58619,"S 13049","FORD MUSTANG Conv - Silver Blue Black - 2019 - S 13049",1940,"Follow up",2023-07-17,2023-07-19,2023-07-18,,ABDULLAH,,,"HOT LINE",,,,,,,,,,"new rear bodykits",
58620,"V 14234","MERCEDES E300 - Blue - 2019 - V 14234",1802,"Follow up",2023-07-17,2023-07-19,2023-07-18,,ABDULLAH,,,RMR,,,,,,,,,,"balance broblem",
